frame,player_number,x1,y1,x2,y2
2,ID 1,802,467,872,562
2,Player 5,845,187,880,247
2,ID 4,398,421,463,498
2,Player 21,151,265,202,347
2,Player 3,1092,344,1142,440
2,ID 10,727,194,763,262
2,ID 11,1142,254,1189,339
2,Player 4,530,428,578,518
2,Player 14,494,431,539,519
3,ID 1,811,465,880,559
3,Player 5,856,187,891,248
3,ID 4,403,418,469,498
3,Player 21,161,264,212,347
3,Player 3,1095,343,1146,439
3,ID 10,735,193,772,262
3,ID 11,1150,255,1196,340
3,Player 4,530,428,577,517
3,Player 14,497,432,539,514
3,ID 17,513,455,533,519
4,ID 1,821,463,887,552
4,Player 5,868,185,903,248
4,ID 4,411,417,477,498
4,Player 21,172,264,223,347
4,Player 3,1086,343,1137,438
4,ID 10,746,192,784,263
4,ID 11,1158,256,1203,340
4,Player 4,530,429,576,515
4,Player 14,499,433,540,513
4,ID 17,514,461,532,518
5,ID 1,831,461,892,545
5,Player 5,880,184,915,248
5,ID 4,422,415,488,498
5,Player 21,182,264,233,347
5,Player 3,1085,343,1136,440
5,ID 10,756,192,794,264
5,ID 11,1167,257,1211,340
5,Player 4,531,428,577,517
5,Player 14,498,434,538,510
5,Player 13,478,161,517,226
6,ID 1,836,460,899,545
6,Player 5,890,184,925,248
6,ID 4,428,414,495,498
6,Player 21,190,266,240,347
6,Player 3,1090,346,1140,441
6,ID 10,767,192,805,265
6,ID 11,1177,256,1221,340
6,Player 4,536,426,582,515
6,Player 14,500,436,541,514
6,Player 13,488,160,528,226
7,ID 1,844,457,907,544
7,Player 5,899,184,936,248
7,ID 4,433,412,502,498
7,Player 21,197,266,246,346
7,Player 3,1096,347,1145,442
7,ID 10,779,193,817,266
7,ID 11,1188,255,1233,340
7,Player 4,541,423,587,514
7,Player 14,501,440,543,517
7,Player 13,500,159,540,225
8,ID 1,852,454,918,544
8,Player 5,910,184,947,249
8,ID 4,439,411,507,497
8,Player 21,205,266,253,345
8,Player 3,1109,348,1155,438
8,ID 10,790,195,827,266
8,ID 11,1198,255,1244,340
8,Player 4,548,420,595,512
8,Player 14,505,441,546,519
8,Player 13,512,158,551,224
8,ID 48,713,224,750,297
9,ID 1,858,450,927,546
